Canonical_Source,Canonical_Provenance_URI,Origin_Lists,Alias_Names,Consolidated_Disposition,Disposition_Code,Disposition_Rationale,Best_Current_License,Best_Current_Commercial_Safe,Best_Current_Attribution_Required,Observed_License_Claims,Observed_Commercial_Safe_Claims,Observed_Attribution_Claims,Merged_Notes
ORCID,https://orcid.org,deepseek,ORCID,hold,hold_unvetted_clear_claim,"Looks promising, but not independently re-audited in this consolidation.",CC0,Yes,No,CC0,Yes,No,"A persistent digital identifier for researchers, which can include award information."
Orlando Project Linked Open Data,https://doi.org/10.5683/SP2/HXMS24,deepseek,Orlando Project Linked Open Data,hold,hold_unvetted_clear_claim,"Looks promising, but not independently re-audited in this consolidation.",CC BY 3.0,Yes,Yes,CC BY 3.0,Yes,Yes,"A rich set of linked open data representing women's literary history, concentrated on writing in English in the British Isles."
Red Nacional de Bibliotecas Públicas (RNBP Colombia),https://bibliotecanacional.gov.co/es-co/bibliotecas-en-red,gemini_vetted,Red Nacional de Bibliotecas Públicas (RNBP Colombia),hold,license_not_verified,Potentially useful Colombian network node; rights/reuse need confirmation.,Varies,Maybe,Yes,Varies,Maybe,Yes,Valuable for cross-referencing regional institutional ties and municipal book awards specifically within the Colombian market.
SBN (Servizio Bibliotecario Nazionale),https://www.iccu.sbn.it,gemini_vetted,SBN (Servizio Bibliotecario Nazionale),hold,license_not_verified,"Potentially valuable Italian network, but blanket CC0 claim needs confirmation.",CC0,Yes,No,CC0,Yes,No,Massive Italian network of libraries; provides deeper regional granularity than BNCF alone for discovering localized Italian municipal literary prizes.
SNL (Swiss National Library) Linked Data,https://opendata.swiss/en/organization/schweizerische-nationalbibliothek-nb,gemini_vetted,SNL (Swiss National Library) Linked Data,hold,license_not_verified,Useful multilingual Swiss node; licence claim needs dataset-level confirmation.,CC0,Yes,No,CC0,Yes,No,Multilingual metadata (German/French/Italian) capturing Swiss federal and cantonal literature prizes.
SUDOC (ABES),https://www.sudoc.fr,deepseek;gemini_vetted,SUDOC | SUDOC (ABES),hold,license_not_verified,"Useful French union catalogue, but licence status needs primary-source confirmation.",Etalab Open License,Yes,Yes,Etalab Open License | Unclear,Likely | Yes,Likely | Yes,"A French union catalog, with linked data capabilities. || French higher education collective catalog; essential for tracking academic monograph prizes and university press awards."
Selected British Literary Prizes (SBLP),https://data.post45.org,deepseek,Selected British Literary Prizes (SBLP),hold,hold_needs_primary_license,Needs primary-source license verification.,Varies (likely CC BY),Likely,Yes,CC BY 4.0 | Varies (likely CC BY),Likely | Yes,Yes,"A focused dataset covering nine major UK literary prizes from 1990-2022, including demographic data on winners and shortlisted authors."
WorldCat Entities (Awards & Prizes),https://www.worldcat.org,deepseek,WorldCat Entities (Awards & Prizes),hold,hold_unvetted_clear_claim,"Looks promising, but not independently re-audited in this consolidation.",ODC-By,Yes,Yes,ODC-By,Yes,Yes,"The WorldCat Entities dataset contains a vast amount of linked data about awards and prizes, connecting them to specific books and authors. It is accessible via SPARQL and other APIs."
data.bn.org.pl (National Library of Poland),https://data.bn.org.pl,gemini_vetted,data.bn.org.pl (National Library of Poland),hold,license_not_verified,Looks promising but CC0 claim needs primary-source confirmation.,CC0,Yes,No,CC0,Yes,No,High-quality LOD API for Polish bibliographic data; the definitive source for capturing Central European national and regional book awards.
African Literary Metadata (ALMEDA),https://wikibase.almeda.engelska.uu.se,deepseek,African Literary Metadata (ALMEDA),exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A linked open repository of metadata on African informal literatures, including award information."
AgroPortal,http://agroportal.lirmm.fr,deepseek,AgroPortal,exclude,exclude_category_error,Tooling / framework / vocabulary rather than a source row.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A repository of ontologies for the agronomic domain, with linked data capabilities."
Archives Hub Linked Data,https://archiveshub.jisc.ac.uk,deepseek,Archives Hub Linked Data,exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A sample dataset of descriptions of archive collections held on the Archives Hub, a UK aggregator, output as Linked Data."
AustLit,https://www.austlit.edu.au,deepseek,AustLit,exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A comprehensive database for Australian literature, which includes information on literary awards and prize winners."
"B3Kat - Library Union Catalogues of Bavaria, Berlin and Brandenburg",https://lod.b3kat.de,deepseek,"B3Kat - Library Union Catalogues of Bavaria, Berlin and Brandenburg",exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,Joint Union Catalogue of 180 academic libraries in Germany; contains descriptions of 25M titles and 58M holdings.
BIBFRAME Vocabulary (Awarding Agency),https://id.loc.gov/ontologies/bibframe.html,deepseek,BIBFRAME Vocabulary (Awarding Agency),exclude,exclude_category_error,Tooling / framework / vocabulary rather than a source row.,CC0,Yes,No,CC0,Yes,No,"The BIBFRAME vocabulary, designed for bibliographic description in linked data, includes specific classes and properties for modeling ""awarding agency"" and other award-related information."
BioPortal,https://bioportal.bioontology.org,deepseek,BioPortal,exclude,exclude_category_error,Tooling / framework / vocabulary rather than a source row.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A repository of biomedical ontologies, with linked data potential."
British Newspaper Archive,https://www.britishnewspaperarchive.co.uk,deepseek,British Newspaper Archive,exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A large collection of British newspapers, with potential for linked data."
CIDOC-CRM Ontology,https://www.cidoc-crm.org,deepseek,CIDOC-CRM Ontology,exclude,exclude_category_error,Tooling / framework / vocabulary rather than a source row.,Unclear,Likely,Likely,Unclear,Likely,Likely,A parallel dataset using the CIDOC-CRM ontology is being produced as part of the LINCS project.
CWRC Ontology (Canada),https://sparql.cwrc.ca,deepseek,CWRC Ontology (Canada),exclude,exclude_category_error,Tooling / framework / vocabulary rather than a source row.,Unclear,Likely,Likely,Unclear,Likely,Likely,"An ontology developed by the Canadian Writing Research Collaboratory, with a focus on literary studies and history."
CaliGraph,http://caligraph.org,deepseek,CaliGraph,exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A large knowledge graph created from DBpedia. It contains a structured hierarchy for literary awards, which can be useful for discovery."
Copac,https://copac.jisc.ac.uk,deepseek,Copac,exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A UK union catalog, with linked data potential."
DANS (Data Archiving and Networked Services),https://dans.knaw.nl,deepseek,DANS (Data Archiving and Networked Services),exclude,exclude_category_error,"Generic repository or registry, not a direct source row.",Unclear,Likely,Likely,Unclear,Likely,Likely,"A Dutch national centre of expertise and repository for research data, including humanities datasets."
DBpedia Spotlight,https://www.dbpedia-spotlight.org,deepseek,DBpedia Spotlight,exclude,exclude_category_error,Tooling / framework / vocabulary rather than a source row.,Apache 2.0,Yes,Yes,Apache 2.0,Yes,Yes,"A tool for annotating text with DBpedia URIs, useful for extracting award mentions from unstructured text."
DOAJ,https://doaj.org,deepseek,DOAJ,exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A directory of open access journals, with linked data potential."
DataHub,https://datahub.io,deepseek,DataHub,exclude,exclude_category_error,Tooling / framework / vocabulary rather than a source row.,Varies,Likely,Likely,Varies,Likely,Likely,"A community-run catalog of open datasets, including many linked data sources."
Delpher,https://www.delpher.nl,deepseek,Delpher,exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A Dutch digital library of newspapers, books, and magazines, with linked data potential."
ECS Southampton EPrints,https://eprints.soton.ac.uk,deepseek,ECS Southampton EPrints,exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,"Live data produced by the EPrints server, distinct from other datasets."
EUDAT,https://eudat.eu,deepseek,EUDAT,exclude,exclude_category_error,"Generic repository or registry, not a direct source row.",Unclear,Likely,Likely,Unclear,Likely,Likely,"A European collaborative data infrastructure that hosts research data, including linked data."
EZB,https://ezb.uni-regensburg.de,deepseek,EZB,exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,"An electronic journals library, with linked data capabilities."
Europeana Newspapers,https://www.europeana.eu/en/collections/topic/18-newspapers,deepseek,Europeana Newspapers,exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A collection of historic newspapers from across Europe, with linked data potential."
FAIRsharing,https://fairsharing.org,deepseek,FAIRsharing,exclude,exclude_category_error,Tooling / framework / vocabulary rather than a source row.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A registry of standards, databases, and policies, with linked data capabilities."
FaBiO (FRBR-aligned Bibliographic Ontology),https://sparontologies.github.io/fabio/current/fabio.html,deepseek,FaBiO (FRBR-aligned Bibliographic Ontology),exclude,exclude_category_error,Tooling / framework / vocabulary rather than a source row.,CC BY 4.0,Yes,Yes,CC BY 4.0,Yes,Yes,"An ontology for recording and publishing bibliographic records, with a dedicated class for awards and prizes."
Figshare,https://figshare.com,deepseek,Figshare,exclude,exclude_category_error,"Generic repository or registry, not a direct source row.",Varies,Likely,Likely,Varies,Likely,Likely,Another general-purpose repository that hosts linked data datasets.
Folio LSP OAI-PMH Nodes,https://wiki.folio.org/display/FOLIOtips/OAI-PMH,gemini_vetted,Folio LSP OAI-PMH Nodes,exclude,software_api_framework,"Folio OAI-PMH nodes are platform patterns, not a coherent source dataset.",Varies,Yes,Yes,Varies,Yes,Yes,Exposed endpoints across institutions utilizing the Folio system; highly scalable target for harvesting localized institutional book prizes from modernized academic library catalogs.
Gallica,https://gallica.bnf.fr,deepseek,Gallica,exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,"The digital library of the Bibliothèque nationale de France, with linked data capabilities."
Getty Vocabularies,https://www.getty.edu/research/tools/vocabularies/lod/,deepseek,Getty Vocabularies,exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,"Includes the Art & Architecture Thesaurus (AAT) and Union List of Artist Names (ULAN), which can be used to describe awards."
GraphDB,https://graphdb.ontotext.com,deepseek,GraphDB,exclude,exclude_category_error,Tooling / framework / vocabulary rather than a source row.,Unclear,Likely,Likely,Unclear,Likely,Likely,A semantic graph database that can be used to store and query linked data.
ISBNdb,https://isbndb.com/api,gemini_vetted,ISBNdb,exclude,proprietary_api,Not open data; keep out of open/commercial-safe core.,Proprietary,No,Yes,Proprietary,No,Yes,(COMMERCIAL API) Not open data but highly relevant for trade markets; useful for mapping standard identifiers to UIEE formatted used book marketplace records.
Internet Archive,https://archive.org,deepseek,Internet Archive,exclude,exclude_category_error,"Generic repository or registry, not a direct source row.",Varies,Likely,Likely,Varies,Likely,Likely,"A non-profit library of millions of free books, movies, software, music, websites, and more, with linked data potential."
JSON-LD Playground,https://json-ld.org/playground/,deepseek,JSON-LD Playground,exclude,exclude_category_error,Tooling / framework / vocabulary rather than a source row.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A tool for experimenting with JSON-LD, a popular linked data format."
Koha REST API (Various Nodes),https://wiki.koha-community.org/wiki/Koha_REST_API,gemini_vetted,Koha REST API (Various Nodes),exclude,software_api_framework,"Koha REST API is software/access pattern, not a coherent source dataset.",Varies,Yes,Yes,Varies,Yes,Yes,Natively exposed endpoints across Koha instances worldwide; highly scalable for scraping local and regional prize holdings from independent library catalogs.
LA Referencia,https://www.lareferencia.info,gemini_vetted,LA Referencia,exclude,noncommercial_license,Keep out of commercial-safe core.,CC BY-NC-SA,No,Yes,CC BY-NC-SA,No,Yes,"(QUARANTINED) Major Latin American open science network. Non-commercial license restricts SaaS use, but provides a massive reference pool for regional academic book awards."
LCSH (Library of Congress Subject Headings),https://id.loc.gov/authorities/subjects.html,deepseek,LCSH (Library of Congress Subject Headings),exclude,exclude_category_error,"Ontology / vocabulary / schema, not a discovery source.",CC0 / Public Domain,Yes,No,CC0 / Public Domain,Yes,No,A widely used controlled vocabulary that includes subject headings for awards and prizes.
LINCS Vocabularies,https://vocab.lincsproject.ca,deepseek,LINCS Vocabularies,exclude,exclude_category_error,"Ontology / vocabulary / schema, not a discovery source.",Unclear,Likely,Likely,Unclear,Likely,Likely,SKOS vocabularies from the Linked Infrastructure for Networked Cultural Scholarship project.
LOD Cloud,https://lod-cloud.net,deepseek,LOD Cloud,exclude,exclude_category_error,Tooling / framework / vocabulary rather than a source row.,Varies,Likely,Likely,Varies,Likely,Likely,"A visualization and catalog of the Linked Open Data cloud, which can be used to discover new datasets."
Latindex,https://www.latindex.org,gemini_vetted,Latindex,exclude,noncommercial_license,Keep out of commercial-safe core.,CC BY-NC-SA,No,Yes,CC BY-NC-SA,No,Yes,(QUARANTINED) Deeply integrated with Latin American academic infrastructure; non-commercial license restricts SaaS use but helps map institutional publishers.
Linked Open Vocabularies (LOV),https://lov.linkeddata.es,deepseek,Linked Open Vocabularies (LOV),exclude,exclude_category_error,Tooling / framework / vocabulary rather than a source row.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A directory of RDF vocabularies, useful for finding ontologies related to awards."
Lista de Encabezamientos de Materia as Linked Open Data,http://id.sgcb.mcu.es,deepseek,Lista de Encabezamientos de Materia as Linked Open Data,exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,Spanish subject headings as Linked Open Data.
MADS/RDF Vocabulary for Authority Data,https://www.loc.gov/standards/mads/,deepseek,MADS/RDF Vocabulary for Authority Data,exclude,exclude_category_error,Tooling / framework / vocabulary rather than a source row.,CC0,Yes,No,CC0,Yes,No,"The Metadata Authority Description Schema in RDF (MADS/RDF) is a core vocabulary for library authority data, and it includes detailed modeling for awards, prizes, and their recipients."
Memoria Chilena,http://www.memoriachilena.gob.cl,gemini_vetted,Memoria Chilena,exclude,noncommercial_license,Keep out of commercial-safe core.,CC BY-NC-SA,No,Yes,CC BY-NC-SA,No,Yes,(QUARANTINED) Deep dive into Chilean cultural heritage; non-commercial but excellent for mapping historical Latin American literary academies.
MiMoText Ontology,https://github.com/MiMoText/ontology,deepseek,MiMoText Ontology,exclude,exclude_category_error,Tooling / framework / vocabulary rather than a source row.,Unclear,Likely,Likely,Unclear,Likely,Likely,"An ontology dedicated to literary history and historiography, designed for representing literary awards."
National Library of Korea (NLK) LOD,https://lod.nl.go.kr,deepseek,National Library of Korea (NLK) LOD,exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,The Korean national bibliography in LOD format. It is a large source for Korean publications and may contain award data.
OpenAPC,https://openapc.net,deepseek,OpenAPC,exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A dataset of article processing charges, with linked data potential."
OpenDOAR,https://v2.sherpa.ac.uk/opendoar/,deepseek,OpenDOAR,exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A directory of open access repositories, with linked data capabilities."
OpenRefine Reconciliation API Registry,https://reconciliation-api.github.io/testbench/,deepseek;gemini_vetted,OpenRefine Reconciliation API Registry | OpenRefine Reconciliation Service,exclude,tool_registry,"OpenRefine reconciliation registry is tooling/infrastructure, not a discovery dataset.",Varies,Yes,Yes,Varies,Likely | Yes,Likely | Yes,A service that can be used to match award names to linked data URIs. || Aggregates dozens of community-maintained endpoints; excellent for locally aligning and mapping obscure regional award entities into structured formats via Docker deployments.
Perseus Digital Library,http://www.perseus.tufts.edu,deepseek,Perseus Digital Library,exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A digital library of the classical world, with linked data capabilities."
Prefix.cc,https://prefix.cc,deepseek,Prefix.cc,exclude,exclude_category_error,Tooling / framework / vocabulary rather than a source row.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A namespace lookup service for RDF developers, useful for resolving prefixes in award data."
RDF Translator,https://rdf-translator.appspot.com,deepseek,RDF Translator,exclude,exclude_category_error,Tooling / framework / vocabulary rather than a source row.,Unclear,Likely,Likely,Unclear,Likely,Likely,A tool for converting between different RDF serializations.
RISS Linked Data (Korea),http://data.riss.kr,deepseek,RISS Linked Data (Korea),exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,"Linked data service from the Korea Education and Research Information Service, which includes an ""awards"" ontology."
ROAD,https://road.issn.org,deepseek,ROAD,exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A directory of open access scholarly resources, with linked data capabilities."
Redalyc,https://www.redalyc.org,gemini_vetted,Redalyc,exclude,noncommercial_license,Keep out of commercial-safe core.,CC BY-NC-SA,No,Yes,CC BY-NC-SA,No,Yes,"(QUARANTINED) Major Latin American open access network. Non-Commercial license restricts SaaS inclusion, but acts as a valuable reference pool for scholarly book awards."
SPARQL Playground,https://sparql-playground.com,deepseek,SPARQL Playground,exclude,exclude_category_error,Tooling / framework / vocabulary rather than a source row.,Unclear,Likely,Likely,Unclear,Likely,Likely,A web-based SPARQL query editor and runner.
Schema.org (Award Property),https://schema.org/award,deepseek,Schema.org (Award Property),exclude,exclude_category_error,"Ontology / vocabulary / schema, not a discovery source.",CC BY-SA 4.0,Yes,Yes,CC BY-SA 4.0,Yes,Yes,The award property allows for structured markup of awards received by a creative work (like a book) directly on web pages.
SciELO Books,https://books.scielo.org,gemini_vetted,SciELO Books,exclude,noncommercial_or_mixed_license,Keep out of commercial-safe core.,CC BY-NC-SA / varies,No,Yes,CC BY-NC-SA (Varies),No,Yes,"(QUARANTINED) Major open access book network for Brazil and Latin America; non-commercial license restricts some SaaS integrations, but vital for regional academic prize tracking."
Share Family,https://share-vde.org,deepseek;seed,Share Family,exclude,exclude_quarantined_seed,Carried forward from seed as quarantined pending clear license confirmation.,Unclear (QUARANTINED),No,Yes,Unclear (QUARANTINED),No,Yes,Hold out of main pool until clear-cut license confirmed.
Swissbib,https://www.swissbib.ch,deepseek,Swissbib,exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A Swiss library catalog, with linked data capabilities."
TIND Open APIs,https://docs.tind.io,gemini_vetted,TIND Open APIs,exclude,software_api_framework,"TIND Open APIs are platform tooling, not a coherent source row.",Varies,Maybe,Yes,Varies,Maybe,Yes,API access to a growing number of spin-off institutional repositories; useful for identifying small-scale academic presses and local institutional awards.
Transparency International Linked Data,https://transparency.org,deepseek,Transparency International Linked Data,exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,Corruption Perceptions Index and Sources data published as Linked Data.
Virtuoso,https://virtuoso.openlinksw.com,deepseek,Virtuoso,exclude,exclude_category_error,Tooling / framework / vocabulary rather than a source row.,Unclear,Likely,Likely,Unclear,Likely,Likely,A universal server that provides a SPARQL endpoint and linked data capabilities.
VuFind Discovery APIs,https://vufind.org,gemini_vetted,VuFind Discovery APIs,exclude,software_api_framework,"VuFind is discovery software, not a coherent source dataset.",Varies,Yes,Yes,Varies,Yes,Yes,Highly prevalent open-source discovery layer; exposes structured bibliographic data for institutions running underlying Koha or Kuali OLE implementations.
YASGUI,https://yasgui.triply.cc,deepseek,YASGUI,exclude,exclude_category_error,Tooling / framework / vocabulary rather than a source row.,Unclear,Likely,Likely,Unclear,Likely,Likely,"Yet Another SPARQL GUI, a popular web-based SPARQL query editor."
ZDB,https://zdb-katalog.de,deepseek,ZDB,exclude,exclude_noncommercial_or_quarantined,Non-commercial or quarantined from commercial-safe core.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A German union catalog of serials, with linked data potential."
Zenodo,https://zenodo.org,deepseek,Zenodo,exclude,exclude_category_error,"Generic repository or registry, not a direct source row.",Varies,Likely,Likely,Varies,Likely,Likely,"A general-purpose open-access repository that hosts many linked data datasets, including literary awards."
re3data,https://www.re3data.org,deepseek,re3data,exclude,exclude_category_error,Tooling / framework / vocabulary rather than a source row.,Unclear,Likely,Likely,Unclear,Likely,Likely,"A registry of research data repositories, with linked data potential."
